JOBCD,JOBCD_NM,JOBCLS,JOBCD_LVL,PPH_FLAG,J_FAMILY_CD,J_FAMILY_NM,J_FUNCTION_CD,J_FUNCTION_NM,J_JOB_NAME,EMP_CLS_KPI,OH_TYPE
X624,Explorer L2,X62,4,O,X00,Development,X60,Innovation,Explorer,Office Worker,-
X625,Explorer L1,X62,5,O,X00,Development,X60,Innovation,Explorer,Office Worker,-
X626,Explorer Associate,X62,6,O,X00,Development,X60,Innovation,Explorer,Office Worker,-
X631,Innovation PE Executive,X63,1,O,X00,Development,X60,Innovation,Innovation PE,Office Worker,-
X632,Innovation PE Lead,X63,2,O,X00,Development,X60,Innovation,Innovation PE,Office Worker,-
X633,Innovation PE Senior,X63,3,O,X00,Development,X60,Innovation,Innovation PE,Office Worker,-
X634,Innovation PE L2,X63,4,O,X00,Development,X60,Innovation,Innovation PE,Office Worker,-
X635,Innovation PE L1,X63,5,O,X00,Development,X60,Innovation,Innovation PE,Office Worker,-
X636,Innovation PE Associate,X63,6,O,X00,Development,X60,Innovation,Innovation PE,Office Worker,-
X641,Innovation CM Executive,X64,1,O,X00,Development,X60,Innovation,Innovation CM,Office Worker,-
X642,Innovation CM Lead,X64,2,O,X00,Development,X60,Innovation,Innovation CM,Office Worker,-
X643,Innovation CM Senior,X64,3,O,X00,Development,X60,Innovation,Innovation CM,Office Worker,-
X644,Innovation CM L2,X64,4,O,X00,Development,X60,Innovation,Innovation CM,Office Worker,-
X645,Innovation CM L1,X64,5,O,X00,Development,X60,Innovation,Innovation CM,Office Worker,-
X646,Innovation CM Associate,X64,6,O,X00,Development,X60,Innovation,Innovation CM,Office Worker,-
X651,Innovation IE Executive,X65,1,O,X00,Development,X60,Innovation,Innovation IE,Office Worker,-
X652,Innovation IE Lead,X65,2,O,X00,Development,X60,Innovation,Innovation IE,Office Worker,-
X653,Innovation IE Senior,X65,3,O,X00,Development,X60,Innovation,Innovation IE,Office Worker,-
X654,Innovation IE L2,X65,4,O,X00,Development,X60,Innovation,Innovation IE,Office Worker,-
X655,Innovation IE L1,X65,5,O,X00,Development,X60,Innovation,Innovation IE,Office Worker,-
X656,Innovation IE Associate,X65,6,O,X00,Development,X60,Innovation,Innovation IE,Office Worker,-
X661,Innovation TE Executive,X66,1,O,X00,Development,X60,Innovation,Innovation TE,Office Worker,-
X662,Innovation TE Lead,X66,2,O,X00,Development,X60,Innovation,Innovation TE,Office Worker,-
X663,Innovation TE Senior,X66,3,O,X00,Development,X60,Innovation,Innovation TE,Office Worker,-
X664,Innovation TE L2,X66,4,O,X00,Development,X60,Innovation,Innovation TE,Office Worker,-
X665,Innovation TE L1,X66,5,O,X00,Development,X60,Innovation,Innovation TE,Office Worker,-
X666,Innovation TE Associate,X66,6,O,X00,Development,X60,Innovation,Innovation TE,Office Worker,-
X671,Innovation CE Executive,X67,1,O,X00,Development,X60,Innovation,Innovation CE,Office Worker,-
X672,Innovation CE Lead,X67,2,O,X00,Development,X60,Innovation,Innovation CE,Office Worker,-
X673,Innovation CE Senior,X67,3,O,X00,Development,X60,Innovation,Innovation CE,Office Worker,-
X674,Innovation CE L2,X67,4,O,X00,Development,X60,Innovation,Innovation CE,Office Worker,-
X675,Innovation CE L1,X67,5,O,X00,Development,X60,Innovation,Innovation CE,Office Worker,-
X676,Innovation CE Associate,X67,6,O,X00,Development,X60,Innovation,Innovation CE,Office Worker,-
X711,Product Manager Assistant Exec,X71,1,O,X00,Development,X70,Product Manager Assistant,Product Manager Assistant,Office Worker,-
X712,Product Manager Assistant Lead,X71,2,O,X00,Development,X70,Product Manager Assistant,Product Manager Assistant,Office Worker,SOH
X713,Product Manager Assistant Seni,X71,3,O,X00,Development,X70,Product Manager Assistant,Product Manager Assistant,Office Worker,SOH
X714,Product Manager Assistant L2,X71,4,O,X00,Development,X70,Product Manager Assistant,Product Manager Assistant,Office Worker,-
X715,Product Manager Assistant L1,X71,5,O,X00,Development,X70,Product Manager Assistant,Product Manager Assistant,Office Worker,SOH
X716,Product Manager Assistant Ass,X71,6,O,X00,Development,X70,Product Manager Assistant,Product Manager Assistant,Office Worker,SOH
X811,MDE Executive,X81,1,O,X00,Development,X80,Modernization,MDE,Office Worker,-
X812,MDE Lead,X81,2,O,X00,Development,X80,Modernization,MDE,Office Worker,-
X813,MDE Senior,X81,3,O,X00,Development,X80,Modernization,MDE,Office Worker,-
X814,MDE L2,X81,4,O,X00,Development,X80,Modernization,MDE,Office Worker,-
X815,MDE L1,X81,5,O,X00,Development,X80,Modernization,MDE,Office Worker,-
X816,MDE Associate,X81,6,O,X00,Development,X80,Modernization,MDE,Office Worker,-
X821,MCE Executive,X82,1,O,X00,Development,X80,Modernization,MCE,Office Worker,-
X822,MCE Lead,X82,2,O,X00,Development,X80,Modernization,MCE,Office Worker,-
X823,MCE Senior,X82,3,O,X00,Development,X80,Modernization,MCE,Office Worker,-
X824,MCE L2,X82,4,O,X00,Development,X80,Modernization,MCE,Office Worker,-
X825,MCE L1,X82,5,O,X00,Development,X80,Modernization,MCE,Office Worker,-
X826,MCE Associate,X82,6,O,X00,Development,X80,Modernization,MCE,Office Worker,-
X831,MSE Executive,X83,1,O,X00,Development,X80,Modernization,MSE,Office Worker,-
X832,MSE Lead,X83,2,O,X00,Development,X80,Modernization,MSE,Office Worker,-
X833,MSE Senior,X83,3,O,X00,Development,X80,Modernization,MSE,Office Worker,-
X834,MSE L2,X83,4,O,X00,Development,X80,Modernization,MSE,Office Worker,-
X835,MSE L1,X83,5,O,X00,Development,X80,Modernization,MSE,Office Worker,-
X836,MSE Associate,X83,6,O,X00,Development,X80,Modernization,MSE,Office Worker,-
X841,FEA Executive,X84,1,O,X00,Development,X80,Modernization,FEA,Office Worker,-
X842,FEA Lead,X84,2,O,X00,Development,X80,Modernization,FEA,Office Worker,-
X843,FEA Senior,X84,3,O,X00,Development,X80,Modernization,FEA,Office Worker,-
X844,FEA L2,X84,4,O,X00,Development,X80,Modernization,FEA,Office Worker,-
X845,FEA L1,X84,5,O,X00,Development,X80,Modernization,FEA,Office Worker,-
X846,FEA Associate,X84,6,O,X00,Development,X80,Modernization,FEA,Office Worker,-
X851,ME Executive,X85,1,O,X00,Development,X80,Modernization,ME,Office Worker,-
X852,ME Lead,X85,2,O,X00,Development,X80,Modernization,ME,Office Worker,-
X853,ME Senior,X85,3,O,X00,Development,X80,Modernization,ME,Office Worker,-
X854,ME L2,X85,4,O,X00,Development,X80,Modernization,ME,Office Worker,-
X855,ME L1,X85,5,O,X00,Development,X80,Modernization,ME,Office Worker,-
X856,ME Associate,X85,6,O,X00,Development,X80,Modernization,ME,Office Worker,-
X861,Deployment Executive,X86,1,O,X00,Development,X80,Modernization,Deployment,Office Worker,-
X862,Deployment Lead,X86,2,O,X00,Development,X80,Modernization,Deployment,Office Worker,-
X863,Deployment Senior,X86,3,O,X00,Development,X80,Modernization,Deployment,Office Worker,-
X864,Deployment L2,X86,4,O,X00,Development,X80,Modernization,Deployment,Office Worker,-
X865,Deployment L1,X86,5,O,X00,Development,X80,Modernization,Deployment,Office Worker,-
X866,Deployment Associate,X86,6,O,X00,Development,X80,Modernization,Deployment,Office Worker,-
X912,Sample Shipping Lead,X91,2,O,X00,Development,X90,Sample Manage,Sample Shipping,Office Worker,SOH
X916,Sample Shipping Associate,X91,6,O,X00,Development,X90,Sample Manage,Sample Shipping,Office Worker,SOH
X922,Sample Room Admin Lead,X92,2,O,X00,Development,X90,Sample Manage,Sample Room Admin,Office Worker,SOH
X926,Sample Room Admin Associate,X92,6,O,X00,Development,X90,Sample Manage,Sample Room Admin,Office Worker,SOH
XA12,Sample cutting Lead,XA1,2,O,X00,Development,XA0,Sample Production,Sample cutting,Office Worker,SOH
XA16,Sample cutting Associate,XA1,6,O,X00,Development,XA0,Sample Production,Sample cutting,Production Worker,SOH
XA22,Sample Stitching Lead,XA2,2,O,X00,Development,XA0,Sample Production,Sample Stitching,Office Worker,SOH
XA26,Sample Stitching Associate,XA2,6,O,X00,Development,XA0,Sample Production,Sample Stitching,Production Worker,SOH
XA36,Sample Stockfit Associate,XA3,6,O,X00,Development,XA0,Sample Production,Sample Stockfit,Production Worker,SOH
XA42,Sample Assembly Lead,XA4,2,O,X00,Development,XA0,Sample Production,Sample Assembly,Office Worker,SOH
XA46,Sample Assembly Associate,XA4,6,O,X00,Development,XA0,Sample Production,Sample Assembly,Production Worker,SOH
XA52,Sample Bottom Lead,XA5,2,O,X00,Development,XA0,Sample Production,Sample Bottom,Office Worker,SOH
XA56,Sample Bottom Associate,XA5,6,O,X00,Development,XA0,Sample Production,Sample Bottom,Office Worker,SOH
Y111,Finance Executive,Y11,1,O,Y00,Support,Y10,Fin./Acct.,Finance,Office Worker,-
Y112,Finance Lead,Y11,2,O,Y00,Support,Y10,Fin./Acct.,Finance,Office Worker,SG&A
Y113,Finance Senior,Y11,3,O,Y00,Support,Y10,Fin./Acct.,Finance,Office Worker,-
Y114,Finance L2,Y11,4,O,Y00,Support,Y10,Fin./Acct.,Finance,Office Worker,-
